order_item_id,order_id,menu_id,quantity,unit_price,subtotal
OI00191,ORD00128,M049,2,20.08,40.16
OI00192,ORD00129,M025,3,5.42,16.26
OI00193,ORD00130,M032,1,21.03,21.03
OI00194,ORD00130,M018,2,6.4,12.8
OI00195,ORD00131,M032,2,21.03,42.06
OI00196,ORD00132,M041,3,18.7,56.1
OI00197,ORD00133,M028,1,10.31,10.31
OI00198,ORD00134,M045,1,14.72,14.72
OI00199,ORD00134,M033,1,9.14,9.14
OI00200,ORD00135,M012,1,11.68,11.68
OI00201,ORD00136,M050,1,8.63,8.63
OI00202,ORD00137,M035,3,15.54,46.62
OI00203,ORD00138,M023,1,7.84,7.84
OI00204,ORD00138,M021,1,23.11,23.11
OI00205,ORD00139,M034,1,17.18,17.18
OI00206,ORD00140,M002,3,6.74,20.22
OI00207,ORD00141,M044,3,22.8,68.4
OI00208,ORD00142,M030,1,20.38,20.38
OI00209,ORD00142,M004,1,7.15,7.15
OI00210,ORD00143,M025,1,5.42,5.42
OI00211,ORD00144,M019,3,11.31,33.93
OI00212,ORD00145,M050,3,8.63,25.89
OI00213,ORD00145,M030,2,20.38,40.76
OI00214,ORD00146,M027,2,16.47,32.94
OI00215,ORD00147,M023,3,7.84,23.52
OI00216,ORD00147,M013,2,9.9,19.8
OI00217,ORD00148,M023,1,7.84,7.84
OI00218,ORD00149,M030,3,20.38,61.14
OI00219,ORD00150,M021,3,23.11,69.33
OI00220,ORD00150,M032,3,21.03,63.09
OI00221,ORD00151,M002,1,6.74,6.74
OI00222,ORD00151,M027,2,16.47,32.94
OI00223,ORD00152,M020,2,13.97,27.94
OI00224,ORD00152,M033,2,9.14,18.28
OI00225,ORD00153,M022,3,6.86,20.58
OI00226,ORD00153,M025,1,5.42,5.42
OI00227,ORD00154,M013,1,9.9,9.9
OI00228,ORD00155,M037,3,11.31,33.93
OI00229,ORD00155,M028,3,10.31,30.93
OI00230,ORD00156,M029,2,21.76,43.52
OI00231,ORD00157,M003,2,13.14,26.28
OI00232,ORD00157,M006,2,5.76,11.52
OI00233,ORD00158,M018,3,6.4,19.2
OI00234,ORD00159,M037,1,11.31,11.31
OI00235,ORD00160,M040,3,15.26,45.78
OI00236,ORD00161,M014,3,5.03,15.09
OI00237,ORD00161,M006,2,5.76,11.52
OI00238,ORD00162,M018,3,6.4,19.2
OI00239,ORD00162,M044,1,22.8,22.8
OI00240,ORD00163,M040,2,15.26,30.52
OI00241,ORD00164,M025,3,5.42,16.26
OI00242,ORD00165,M008,2,11.64,23.28
OI00243,ORD00165,M004,1,7.15,7.15
OI00244,ORD00166,M043,3,18.33,54.99
OI00245,ORD00166,M018,3,6.4,19.2
OI00246,ORD00167,M027,3,16.47,49.41
OI00247,ORD00167,M030,2,20.38,40.76
OI00248,ORD00168,M019,1,11.31,11.31
OI00249,ORD00168,M013,3,9.9,29.7
OI00250,ORD00169,M022,2,6.86,13.72
OI00251,ORD00170,M011,3,11.74,35.22
OI00252,ORD00171,M027,2,16.47,32.94
OI00253,ORD00172,M017,2,16.95,33.9
OI00254,ORD00172,M049,3,20.08,60.24
OI00255,ORD00173,M044,1,22.8,22.8
OI00256,ORD00173,M012,2,11.68,23.36
OI00257,ORD00174,M005,1,23.02,23.02
OI00258,ORD00175,M011,1,11.74,11.74
OI00259,ORD00175,M048,1,5.64,5.64
OI00260,ORD00176,M011,3,11.74,35.22
OI00261,ORD00177,M040,1,15.26,15.26
OI00262,ORD00178,M005,2,23.02,46.04
OI00263,ORD00179,M043,3,18.33,54.99
OI00264,ORD00180,M022,3,6.86,20.58
OI00265,ORD00180,M003,1,13.14,13.14
OI00266,ORD00181,M037,3,11.31,33.93
OI00267,ORD00181,M043,2,18.33,36.66
OI00268,ORD00182,M045,3,14.72,44.16
OI00269,ORD00182,M035,2,15.54,31.08
OI00270,ORD00183,M024,1,20.8,20.8
OI00271,ORD00183,M029,2,21.76,43.52
OI00272,ORD00184,M027,3,16.47,49.41
OI00273,ORD00185,M001,2,6.05,12.1
OI00274,ORD00185,M048,3,5.64,16.92
OI00275,ORD00186,M027,3,16.47,49.41
OI00276,ORD00187,M035,2,15.54,31.08
OI00277,ORD00187,M022,2,6.86,13.72
OI00278,ORD00188,M035,2,15.54,31.08
OI00279,ORD00188,M034,2,17.18,34.36
OI00280,ORD00189,M039,3,20.39,61.17
OI00281,ORD00190,M007,3,15.72,47.16
OI00282,ORD00190,M031,3,11.87,35.61
OI00283,ORD00191,M021,3,23.11,69.33
OI00284,ORD00191,M007,2,15.72,31.44
OI00285,ORD00192,M023,1,7.84,7.84
OI00286,ORD00192,M031,2,11.87,23.74
OI00287,ORD00193,M010,2,8.19,16.38
OI00288,ORD00193,M048,1,5.64,5.64
OI00289,ORD00194,M034,3,17.18,51.54
OI00290,ORD00195,M037,1,11.31,11.31
OI00291,ORD00196,M045,2,14.72,29.44
OI00292,ORD00197,M040,2,15.26,30.52
OI00293,ORD00197,M032,3,21.03,63.09
OI00294,ORD00198,M039,1,20.39,20.39
OI00295,ORD00198,M042,2,17.77,35.54
OI00296,ORD00199,M041,2,18.7,37.4
OI00297,ORD00200,M017,3,16.95,50.85
OI00298,ORD00201,M033,2,9.14,18.28
OI00299,ORD00201,M018,3,6.4,19.2
OI00300,ORD00202,M006,1,5.76,5.76
OI00301,ORD00202,M031,3,11.87,35.61
OI00302,ORD00203,M004,3,7.15,21.45
OI00303,ORD00204,M007,3,15.72,47.16
OI00304,ORD00204,M047,3,12.49,37.47
OI00305,ORD00205,M005,1,23.02,23.02
OI00306,ORD00205,M013,3,9.9,29.7
OI00307,ORD00206,M005,3,23.02,69.06
OI00308,ORD00206,M013,2,9.9,19.8
OI00309,ORD00207,M015,2,13.73,27.46
OI00310,ORD00207,M050,3,8.63,25.89
OI00311,ORD00208,M005,3,23.02,69.06
OI00312,ORD00208,M026,2,23.22,46.44
OI00313,ORD00209,M046,2,18.37,36.74
OI00314,ORD00210,M020,1,13.97,13.97
OI00315,ORD00210,M030,3,20.38,61.14
OI00316,ORD00211,M022,2,6.86,13.72
OI00317,ORD00212,M004,1,7.15,7.15
OI00318,ORD00213,M013,3,9.9,29.7
OI00319,ORD00214,M046,1,18.37,18.37
OI00320,ORD00215,M021,1,23.11,23.11
OI00321,ORD00215,M008,2,11.64,23.28
OI00322,ORD00216,M005,1,23.02,23.02
OI00323,ORD00217,M048,1,5.64,5.64
OI00324,ORD00218,M021,1,23.11,23.11
OI00325,ORD00219,M007,1,15.72,15.72
OI00326,ORD00220,M040,2,15.26,30.52
OI00327,ORD00220,M013,1,9.9,9.9
OI00328,ORD00221,M040,1,15.26,15.26
OI00329,ORD00222,M041,1,18.7,18.7
OI00330,ORD00223,M010,2,8.19,16.38
OI00331,ORD00223,M019,2,11.31,22.62
OI00332,ORD00224,M050,2,8.63,17.26
OI00333,ORD00225,M025,2,5.42,10.84
OI00334,ORD00225,M022,1,6.86,6.86
OI00335,ORD00226,M017,2,16.95,33.9
OI00336,ORD00226,M033,1,9.14,9.14
OI00337,ORD00227,M003,1,13.14,13.14
OI00338,ORD00227,M035,1,15.54,15.54
OI00339,ORD00228,M038,1,12.96,12.96
OI00340,ORD00228,M031,2,11.87,23.74
OI00341,ORD00229,M015,2,13.73,27.46
OI00342,ORD00229,M022,2,6.86,13.72
OI00343,ORD00230,M043,3,18.33,54.99
OI00344,ORD00231,M004,3,7.15,21.45
OI00345,ORD00232,M047,2,12.49,24.98
OI00346,ORD00233,M037,3,11.31,33.93
OI00347,ORD00234,M043,3,18.33,54.99
OI00348,ORD00235,M046,2,18.37,36.74
OI00349,ORD00236,M046,1,18.37,18.37
OI00350,ORD00236,M027,2,16.47,32.94
OI00351,ORD00237,M032,1,21.03,21.03
OI00352,ORD00238,M017,1,16.95,16.95
OI00353,ORD00239,M045,3,14.72,44.16
OI00354,ORD00239,M036,3,21.19,63.57
OI00355,ORD00240,M037,1,11.31,11.31
OI00356,ORD00241,M044,3,22.8,68.4
OI00357,ORD00242,M030,2,20.38,40.76
OI00358,ORD00242,M002,1,6.74,6.74
OI00359,ORD00243,M009,3,22.04,66.12
OI00360,ORD00243,M045,3,14.72,44.16
OI00361,ORD00244,M027,3,16.47,49.41
OI00362,ORD00245,M041,1,18.7,18.7
OI00363,ORD00245,M001,2,6.05,12.1
OI00364,ORD00246,M017,3,16.95,50.85
OI00365,ORD00246,M001,3,6.05,18.15
OI00366,ORD00247,M043,3,18.33,54.99
OI00367,ORD00248,M018,3,6.4,19.2
OI00368,ORD00248,M012,3,11.68,35.04
OI00369,ORD00249,M046,3,18.37,55.11
OI00370,ORD00249,M019,1,11.31,11.31
OI00371,ORD00250,M028,1,10.31,10.31
OI00372,ORD00251,M025,2,5.42,10.84
OI00373,ORD00252,M046,3,18.37,55.11
OI00374,ORD00253,M047,3,12.49,37.47
OI00375,ORD00254,M008,3,11.64,34.92
OI00376,ORD00254,M032,1,21.03,21.03
OI00377,ORD00255,M007,2,15.72,31.44
OI00378,ORD00256,M038,2,12.96,25.92
OI00379,ORD00257,M039,2,20.39,40.78
OI00380,ORD00258,M007,3,15.72,47.16
OI00381,ORD00258,M014,2,5.03,10.06
OI00382,ORD00259,M034,2,17.18,34.36
OI00383,ORD00259,M028,1,10.31,10.31
OI00384,ORD00260,M041,1,18.7,18.7
OI00385,ORD00261,M002,3,6.74,20.22
OI00386,ORD00262,M009,3,22.04,66.12
OI00387,ORD00263,M040,1,15.26,15.26
OI00388,ORD00264,M014,2,5.03,10.06
OI00389,ORD00265,M049,1,20.08,20.08
OI00390,ORD00266,M029,2,21.76,43.52
OI00391,ORD00267,M002,2,6.74,13.48
OI00392,ORD00268,M007,1,15.72,15.72
OI00393,ORD00268,M017,3,16.95,50.85
OI00394,ORD00269,M015,1,13.73,13.73
OI00395,ORD00270,M027,3,16.47,49.41
OI00396,ORD00271,M008,3,11.64,34.92
OI00397,ORD00272,M014,2,5.03,10.06
OI00398,ORD00273,M038,1,12.96,12.96
OI00399,ORD00274,M028,3,10.31,30.93
OI00400,ORD00275,M009,3,22.04,66.12
OI00401,ORD00275,M010,3,8.19,24.57
OI00402,ORD00276,M030,1,20.38,20.38
OI00403,ORD00277,M008,2,11.64,23.28
OI00404,ORD00278,M005,1,23.02,23.02
OI00405,ORD00278,M033,1,9.14,9.14
OI00406,ORD00279,M037,3,11.31,33.93
OI00407,ORD00280,M015,2,13.73,27.46
OI00408,ORD00281,M038,3,12.96,38.88
OI00409,ORD00281,M047,1,12.49,12.49
OI00410,ORD00282,M014,1,5.03,5.03
OI00411,ORD00283,M004,2,7.15,14.3
OI00412,ORD00284,M027,1,16.47,16.47
OI00413,ORD00285,M047,3,12.49,37.47
OI00414,ORD00285,M004,1,7.15,7.15
OI00415,ORD00286,M023,3,7.84,23.52
OI00416,ORD00286,M032,1,21.03,21.03
OI00417,ORD00287,M004,3,7.15,21.45
OI00418,ORD00287,M021,1,23.11,23.11
OI00419,ORD00288,M023,2,7.84,15.68
OI00420,ORD00288,M048,3,5.64,16.92
OI00421,ORD00289,M025,2,5.42,10.84
OI00422,ORD00290,M022,1,6.86,6.86
OI00423,ORD00290,M045,1,14.72,14.72
OI00424,ORD00291,M021,3,23.11,69.33
OI00425,ORD00291,M036,2,21.19,42.38
OI00426,ORD00292,M037,1,11.31,11.31
OI00427,ORD00293,M006,3,5.76,17.28
OI00428,ORD00293,M009,3,22.04,66.12
OI00429,ORD00294,M023,1,7.84,7.84
OI00430,ORD00294,M019,1,11.31,11.31
OI00431,ORD00295,M029,1,21.76,21.76
OI00432,ORD00295,M044,2,22.8,45.6
OI00433,ORD00296,M005,1,23.02,23.02
OI00434,ORD00297,M049,3,20.08,60.24
OI00435,ORD00298,M034,3,17.18,51.54
OI00436,ORD00299,M008,3,11.64,34.92
OI00437,ORD00299,M049,2,20.08,40.16
OI00438,ORD00300,M031,2,11.87,23.74
OI00439,ORD00301,M027,2,16.47,32.94
OI00440,ORD00301,M032,2,21.03,42.06
OI00441,ORD00302,M026,1,23.22,23.22
OI00442,ORD00302,M034,1,17.18,17.18
OI00443,ORD00303,M004,2,7.15,14.3
OI00444,ORD00304,M031,2,11.87,23.74
OI00445,ORD00304,M027,2,16.47,32.94
OI00446,ORD00305,M001,3,6.05,18.15
OI00447,ORD00305,M016,1,6.75,6.75
OI00448,ORD00306,M036,1,21.19,21.19
OI00449,ORD00306,M003,1,13.14,13.14
OI00450,ORD00307,M042,2,17.77,35.54
OI00451,ORD00307,M006,1,5.76,5.76
OI00452,ORD00308,M029,1,21.76,21.76
OI00453,ORD00308,M035,3,15.54,46.62
OI00454,ORD00309,M033,3,9.14,27.42
OI00455,ORD00309,M034,1,17.18,17.18
OI00456,ORD00310,M032,1,21.03,21.03
OI00457,ORD00311,M005,2,23.02,46.04
OI00458,ORD00311,M009,1,22.04,22.04
OI00459,ORD00312,M009,2,22.04,44.08
OI00460,ORD00313,M020,2,13.97,27.94
OI00461,ORD00314,M001,3,6.05,18.15
OI00462,ORD00315,M015,2,13.73,27.46
OI00463,ORD00316,M015,1,13.73,13.73
OI00464,ORD00316,M026,1,23.22,23.22
OI00465,ORD00317,M008,2,11.64,23.28
OI00466,ORD00317,M013,2,9.9,19.8
OI00467,ORD00318,M010,3,8.19,24.57
OI00468,ORD00319,M050,3,8.63,25.89
OI00469,ORD00320,M003,1,13.14,13.14
OI00470,ORD00320,M009,3,22.04,66.12
OI00471,ORD00321,M020,3,13.97,41.91
OI00472,ORD00322,M001,3,6.05,18.15
OI00473,ORD00322,M011,3,11.74,35.22
OI00474,ORD00323,M018,2,6.4,12.8
OI00475,ORD00324,M044,3,22.8,68.4
OI00476,ORD00324,M005,3,23.02,69.06
OI00477,ORD00325,M017,2,16.95,33.9
OI00478,ORD00325,M045,3,14.72,44.16
OI00479,ORD00326,M043,2,18.33,36.66
OI00480,ORD00327,M044,2,22.8,45.6
OI00481,ORD00328,M004,2,7.15,14.3
OI00482,ORD00329,M002,2,6.74,13.48
OI00483,ORD00329,M002,2,6.74,13.48
OI00484,ORD00330,M001,2,6.05,12.1
OI00485,ORD00330,M043,1,18.33,18.33
OI00486,ORD00331,M010,3,8.19,24.57
OI00487,ORD00331,M021,2,23.11,46.22
OI00488,ORD00332,M020,1,13.97,13.97
OI00489,ORD00332,M026,3,23.22,69.66
OI00490,ORD00333,M005,1,23.02,23.02
OI00491,ORD00334,M035,3,15.54,46.62
OI00492,ORD00335,M027,1,16.47,16.47
OI00493,ORD00336,M008,3,11.64,34.92
OI00494,ORD00336,M048,1,5.64,5.64
OI00495,ORD00337,M001,1,6.05,6.05
OI00496,ORD00337,M016,2,6.75,13.5
OI00497,ORD00338,M030,3,20.38,61.14
OI00498,ORD00338,M035,3,15.54,46.62
OI00499,ORD00339,M045,2,14.72,29.44
OI00500,ORD00339,M027,2,16.47,32.94
OI00501,ORD00340,M011,2,11.74,23.48
OI00502,ORD00341,M030,1,20.38,20.38
OI00503,ORD00341,M038,2,12.96,25.92
OI00504,ORD00342,M003,3,13.14,39.42
OI00505,ORD00343,M041,1,18.7,18.7
OI00506,ORD00344,M016,2,6.75,13.5
OI00507,ORD00345,M016,2,6.75,13.5
OI00508,ORD00345,M050,3,8.63,25.89
OI00509,ORD00346,M016,1,6.75,6.75
OI00510,ORD00347,M027,3,16.47,49.41
OI00511,ORD00348,M043,1,18.33,18.33
OI00512,ORD00348,M013,3,9.9,29.7
OI00513,ORD00349,M032,1,21.03,21.03
OI00514,ORD00349,M024,3,20.8,62.4
OI00515,ORD00350,M030,2,20.38,40.76
OI00516,ORD00350,M010,1,8.19,8.19
OI00517,ORD00351,M030,2,20.38,40.76
OI00518,ORD00351,M019,2,11.31,22.62
OI00519,ORD00352,M015,3,13.73,41.19
OI00520,ORD00353,M012,3,11.68,35.04
OI00521,ORD00353,M024,2,20.8,41.6
OI00522,ORD00354,M021,3,23.11,69.33
OI00523,ORD00355,M047,1,12.49,12.49
OI00524,ORD00355,M004,2,7.15,14.3
OI00525,ORD00356,M018,2,6.4,12.8
OI00526,ORD00356,M007,1,15.72,15.72
OI00527,ORD00357,M005,2,23.02,46.04
OI00528,ORD00358,M012,1,11.68,11.68
OI00529,ORD00359,M006,1,5.76,5.76
OI00530,ORD00359,M050,1,8.63,8.63
OI00531,ORD00360,M010,1,8.19,8.19
OI00532,ORD00360,M006,3,5.76,17.28
OI00533,ORD00361,M025,1,5.42,5.42
OI00534,ORD00362,M006,3,5.76,17.28
OI00535,ORD00362,M050,2,8.63,17.26
OI00536,ORD00363,M003,3,13.14,39.42
OI00537,ORD00363,M032,1,21.03,21.03
OI00538,ORD00364,M047,3,12.49,37.47
OI00539,ORD00364,M049,3,20.08,60.24
OI00540,ORD00365,M005,1,23.02,23.02
OI00541,ORD00365,M030,1,20.38,20.38
OI00542,ORD00366,M021,2,23.11,46.22
OI00543,ORD00367,M035,2,15.54,31.08
OI00544,ORD00368,M019,1,11.31,11.31
OI00545,ORD00368,M042,2,17.77,35.54
OI00546,ORD00369,M020,1,13.97,13.97
OI00547,ORD00370,M044,3,22.8,68.4
OI00548,ORD00371,M010,3,8.19,24.57
OI00549,ORD00372,M008,3,11.64,34.92
OI00550,ORD00373,M011,1,11.74,11.74
OI00551,ORD00373,M003,2,13.14,26.28
OI00552,ORD00374,M047,1,12.49,12.49
OI00553,ORD00374,M025,2,5.42,10.84
OI00554,ORD00375,M027,2,16.47,32.94
OI00555,ORD00376,M048,2,5.64,11.28
OI00556,ORD00376,M013,2,9.9,19.8
OI00557,ORD00377,M035,3,15.54,46.62
OI00558,ORD00378,M002,3,6.74,20.22
OI00559,ORD00379,M037,3,11.31,33.93
OI00560,ORD00379,M036,2,21.19,42.38
OI00561,ORD00380,M045,2,14.72,29.44
OI00562,ORD00380,M028,1,10.31,10.31
OI00563,ORD00381,M038,2,12.96,25.92
OI00564,ORD00382,M030,2,20.38,40.76
OI00565,ORD00383,M039,1,20.39,20.39
OI00566,ORD00384,M003,2,13.14,26.28
OI00567,ORD00385,M036,3,21.19,63.57
OI00568,ORD00385,M018,1,6.4,6.4
OI00569,ORD00386,M038,2,12.96,25.92
OI00570,ORD00386,M044,3,22.8,68.4
OI00571,ORD00387,M033,2,9.14,18.28
OI00572,ORD00388,M049,3,20.08,60.24
OI00573,ORD00388,M038,2,12.96,25.92
OI00574,ORD00389,M047,2,12.49,24.98
OI00575,ORD00390,M031,1,11.87,11.87
OI00576,ORD00391,M030,1,20.38,20.38
OI00577,ORD00391,M046,3,18.37,55.11
OI00578,ORD00392,M032,2,21.03,42.06
OI00579,ORD00393,M019,1,11.31,11.31
OI00580,ORD00394,M004,1,7.15,7.15
